 #  SO virial mass [solar mass]  red-shift  b 
  1.1875943757E+08  5.8298513201E-03  7.1879471827E-01
  1.1875943757E+08  6.2950794591E-03  7.1880189375E-01
  1.1875943757E+08  6.7974332828E-03  7.1880964908E-01
  1.1875943757E+08  7.3398754590E-03  7.1881803171E-01
  1.1875943757E+08  7.9256050794E-03  7.1882709311E-01
  1.1875943757E+08  8.5580765267E-03  7.1883688909E-01
  1.1875943757E+08  9.2410198469E-03  7.1884748017E-01
  1.1875943757E+08  9.9784627473E-03  7.1885893203E-01
  1.1875943757E+08  1.0774754351E-02  7.1887131595E-01
  1.1875943757E+08  1.1634590844E-02  7.1888470935E-01
  1.1875943757E+08  1.2563043175E-02  7.1889919632E-01
  1.1875943757E+08  1.3565586958E-02  7.1891486825E-01
  1.1875943757E+08  1.4648134767E-02  7.1893182452E-01
  1.1875943757E+08  1.5817071007E-02  7.1895017324E-01
  1.1875943757E+08  1.7079289562E-02  7.1897003209E-01
  1.1875943757E+08  1.8442234458E-02  7.1899152924E-01
  1.1875943757E+08  1.9913943760E-02  7.1901480436E-01
  1.1875943757E+08  2.1503096980E-02  7.1904000977E-01
  1.1875943757E+08  2.3219066263E-02  7.1906731169E-01
  1.1875943757E+08  2.5071971662E-02  7.1909689165E-01
  1.1875943757E+08  2.7072740821E-02  7.1912894807E-01
  1.1875943757E+08  2.9233173419E-02  7.1916369797E-01
  1.1875943757E+08  3.1566010763E-02  7.1920137896E-01
  1.1875943757E+08  3.4085010929E-02  7.1924225145E-01
  1.1875943757E+08  3.6805029903E-02  7.1928660106E-01
  1.1875943757E+08  3.9742109192E-02  7.1933474145E-01
  1.1875943757E+08  4.2913570433E-02  7.1938701741E-01
  1.1875943757E+08  4.6338117547E-02  7.1944380843E-01
  1.1875943757E+08  5.0035947047E-02  7.1950553261E-01
  1.1875943757E+08  5.4028867150E-02  7.1957265127E-01
  1.1875943757E+08  5.8340426388E-02  7.1964567402E-01
  1.1875943757E+08  6.2996052495E-02  7.1972516462E-01
  1.1875943757E+08  6.8023202359E-02  7.1981174763E-01
  1.1875943757E+08  7.3451523959E-02  7.1990611596E-01
  1.1875943757E+08  7.9313031213E-02  7.2000903960E-01
  1.1875943757E+08  8.5642292783E-02  7.2012137549E-01
  1.1875943757E+08  9.2476635943E-02  7.2024407898E-01
  1.1875943757E+08  9.9856366727E-02  7.2037821689E-01
  1.1875943757E+08  1.0782500763E-01  7.2052498265E-01
  1.1875943757E+08  1.1642955428E-01  7.2068571367E-01
  1.1875943757E+08  1.2572075261E-01  7.2086191150E-01
  1.1875943757E+08  1.3575339814E-01  7.2105526513E-01
  1.1875943757E+08  1.4658665911E-01  7.2126767800E-01
  1.1875943757E+08  1.5828442547E-01  7.2150129943E-01
  1.1875943757E+08  1.7091568562E-01  7.2175856111E-01
  1.1875943757E+08  1.8455493335E-01  7.2204221970E-01
  1.1875943757E+08  1.9928260709E-01  7.2235540647E-01
  1.1875943757E+08  2.1518556436E-01  7.2270168540E-01
  1.1875943757E+08  2.3235759400E-01  7.2308512113E-01
  1.1875943757E+08  2.5089996929E-01  7.2351035859E-01
  1.1875943757E+08  2.7092204523E-01  7.2398271643E-01
  1.1875943757E+08  2.9254190344E-01  7.2450829686E-01
  1.1875943757E+08  3.1588704860E-01  7.2509411468E-01
  1.1875943757E+08  3.4109516039E-01  7.2574824928E-01
  1.1875943757E+08  3.6831490545E-01  7.2648002371E-01
  1.1875943757E+08  3.9770681421E-01  7.2730021583E-01
  1.1875943757E+08  4.2944422755E-01  7.2822130740E-01
  1.1875943757E+08  4.6371431916E-01  7.2925777845E-01
  1.1875943757E+08  5.0071919938E-01  7.3042645512E-01
  1.1875943757E+08  5.4067710714E-01  7.3174692106E-01
  1.1875943757E+08  5.8382369709E-01  7.3324200442E-01
  1.1875943757E+08  6.3041342936E-01  7.3493835459E-01
  1.1875943757E+08  6.8072107024E-01  7.3686712580E-01
  1.1875943757E+08  7.3504331267E-01  7.3906478874E-01
  1.1875943757E+08  7.9370052598E-01  7.4157409479E-01
  1.1875943757E+08  8.5703864533E-01  7.4444522273E-01
  1.1875943757E+08  9.2543121183E-01  7.4773714378E-01
  1.1875943757E+08  9.9928157557E-01  7.5151925074E-01
  1.1875943757E+08  1.0790252744E+00  7.5587330423E-01
  1.1875943757E+08  1.1651326025E+00  7.6089575933E-01
  1.1875943757E+08  1.2581113840E+00  7.6670055387E-01
  1.1875943757E+08  1.3585099681E+00  7.7342245631E-01
  1.1875943757E+08  1.4669204626E+00  7.8122108381E-01
  1.1875943757E+08  1.5839822262E+00  7.9028574023E-01
  1.1875943757E+08  1.7103856391E+00  8.0084124318E-01
  1.1875943757E+08  1.8468761745E+00  8.1315494501E-01
  1.1875943757E+08  1.9942587952E+00  8.2754521578E-01
  1.1875943757E+08  2.1534027008E+00  8.4439167634E-01
  1.1875943757E+08  2.3252464539E+00  8.6414758367E-01
  1.1875943757E+08  2.5108035155E+00  8.8735479436E-01
  1.1875943757E+08  2.7111682218E+00  9.1466189744E-01
  1.1875943757E+08  2.9275222379E+00  9.4684615310E-01
  1.1875943757E+08  3.1611415273E+00  9.8484010590E-01
  1.1875943757E+08  3.4134038766E+00  1.0297638340E+00
  1.1875943757E+08  3.6857970212E+00  1.0829640938E+00
  1.1875943757E+08  3.9799274192E+00  1.1460618467E+00
  1.1875943757E+08  4.2975297259E+00  1.2210099705E+00
  1.1875943757E+08  4.6404770237E+00  1.3101634378E+00
  1.1875943757E+08  5.0107918691E+00  1.4163646449E+00
  1.1875943757E+08  5.4106582205E+00  1.5430472271E+00
  1.1875943757E+08  5.8424343185E+00  1.6943624827E+00
  1.1875943757E+08  6.3086665938E+00  1.8753333618E+00
  1.1875943757E+08  6.8121046848E+00  2.0920421279E+00
  1.1875943757E+08  7.3557176540E+00  2.3518591988E+00
  1.1875943757E+08  7.9427114979E+00  2.6637223575E+00
  1.1875943757E+08  8.5765480550E+00  3.0384775533E+00
  1.1875943757E+08  9.2609654221E+00  3.4892951013E+00
  1.1875943757E+08  1.0000000000E+01  4.0321782048E+00
  1.5231354854E+08  5.0000000000E-03  7.1941373902E-01
  1.5231354854E+08  5.3990051491E-03  7.1942026775E-01
  1.5231354854E+08  5.8298513201E-03  7.1942732307E-01
  1.5231354854E+08  6.2950794591E-03  7.1943494794E-01
  1.5231354854E+08  6.7974332828E-03  7.1944318888E-01
  1.5231354854E+08  7.3398754590E-03  7.1945209632E-01
  1.5231354854E+08  7.9256050794E-03  7.1946172492E-01
  1.5231354854E+08  8.5580765267E-03  7.1947213396E-01
  1.5231354854E+08  9.2410198469E-03  7.1948338773E-01
  1.5231354854E+08  9.9784627473E-03  7.1949555597E-01
  1.5231354854E+08  1.0774754351E-02  7.1950871439E-01
  1.5231354854E+08  1.1634590844E-02  7.1952294520E-01
  1.5231354854E+08  1.2563043175E-02  7.1953833770E-01
  1.5231354854E+08  1.3565586958E-02  7.1955498893E-01
  1.5231354854E+08  1.4648134767E-02  7.1957300440E-01
  1.5231354854E+08  1.5817071007E-02  7.1959249890E-01
  1.5231354854E+08  1.7079289562E-02  7.1961359735E-01
  1.5231354854E+08  1.8442234458E-02  7.1963643581E-01
  1.5231354854E+08  1.9913943760E-02  7.1966116252E-01
  1.5231354854E+08  2.1503096980E-02  7.1968793916E-01
  1.5231354854E+08  2.3219066263E-02  7.1971694212E-01
  1.5231354854E+08  2.5071971662E-02  7.1974836403E-01
  1.5231354854E+08  2.7072740821E-02  7.1978241540E-01
  1.5231354854E+08  2.9233173419E-02  7.1981932648E-01
  1.5231354854E+08  3.1566010763E-02  7.1985934932E-01
  1.5231354854E+08  3.4085010929E-02  7.1990276009E-01
  1.5231354854E+08  3.6805029903E-02  7.1994986171E-01
  1.5231354854E+08  3.9742109192E-02  7.2000098675E-01
  1.5231354854E+08  4.2913570433E-02  7.2005650075E-01
  1.5231354854E+08  4.6338117547E-02  7.2011680595E-01
  1.5231354854E+08  5.0035947047E-02  7.2018234547E-01
  1.5231354854E+08  5.4028867150E-02  7.2025360812E-01
  1.5231354854E+08  5.8340426388E-02  7.2033113381E-01
  1.5231354854E+08  6.2996052495E-02  7.2041551967E-01
  1.5231354854E+08  6.8023202359E-02  7.2050742711E-01
  1.5231354854E+08  7.3451523959E-02  7.2060758978E-01
  1.5231354854E+08  7.9313031213E-02  7.2071682273E-01
  1.5231354854E+08  8.5642292783E-02  7.2083603288E-01
  1.5231354854E+08  9.2476635943E-02  7.2096623101E-01
  1.5231354854E+08  9.9856366727E-02  7.2110854562E-01
  1.5231354854E+08  1.0782500763E-01  7.2126423878E-01
  1.5231354854E+08  1.1642955428E-01  7.2143472447E-01
  1.5231354854E+08  1.2572075261E-01  7.2162158980E-01
  1.5231354854E+08  1.3575339814E-01  7.2182661950E-01
  1.5231354854E+08  1.4658665911E-01  7.2205182439E-01
  1.5231354854E+08  1.5828442547E-01  7.2229947437E-01
  1.5231354854E+08  1.7091568562E-01  7.2257213687E-01
  1.5231354854E+08  1.8455493335E-01  7.2287272161E-01
  1.5231354854E+08  1.9928260709E-01  7.2320453281E-01
  1.5231354854E+08  2.1518556436E-01  7.2357133028E-01
  1.5231354854E+08  2.3235759400E-01  7.2397740079E-01
  1.5231354854E+08  2.5089996929E-01  7.2442764186E-01
  1.5231354854E+08  2.7092204523E-01  7.2492765991E-01
  1.5231354854E+08  2.9254190344E-01  7.2548388571E-01
  1.5231354854E+08  3.1588704860E-01  7.2610371004E-01
  1.5231354854E+08  3.4109516039E-01  7.2679564343E-01
  1.5231354854E+08  3.6831490545E-01  7.2756950440E-01
  1.5231354854E+08  3.9770681421E-01  7.2843664147E-01
  1.5231354854E+08  4.2944422755E-01  7.2941019505E-01
  1.5231354854E+08  4.6371431916E-01  7.3050540706E-01
  1.5231354854E+08  5.0071919938E-01  7.3173998676E-01
  1.5231354854E+08  5.4067710714E-01  7.3313454364E-01
  1.5231354854E+08  5.8382369709E-01  7.3471309992E-01
  1.5231354854E+08  6.3041342936E-01  7.3650369760E-01
  1.5231354854E+08  6.8072107024E-01  7.3853911832E-01
  1.5231354854E+08  7.3504331267E-01  7.4085773824E-01
  1.5231354854E+08  7.9370052598E-01  7.4350454396E-01
  1.5231354854E+08  8.5703864533E-01  7.4653234102E-01
  1.5231354854E+08  9.2543121183E-01  7.5000319291E-01
  1.5231354854E+08  9.9928157557E-01  7.5399013927E-01
  1.5231354854E+08  1.0790252744E+00  7.5857924880E-01
  1.5231354854E+08  1.1651326025E+00  7.6387207374E-01
  1.5231354854E+08  1.2581113840E+00  7.6998859328E-01
  1.5231354854E+08  1.3585099681E+00  7.7707074727E-01
  1.5231354854E+08  1.4669204626E+00  7.8528667852E-01
  1.5231354854E+08  1.5839822262E+00  7.9483584341E-01
  1.5231354854E+08  1.7103856391E+00  8.0595516571E-01
  1.5231354854E+08  1.8468761745E+00  8.1892645647E-01
  1.5231354854E+08  1.9942587952E+00  8.3408537784E-01
  1.5231354854E+08  2.1534027008E+00  8.5183226068E-01
  1.5231354854E+08  2.3252464539E+00  8.7264519968E-01
  1.5231354854E+08  2.5108035155E+00  8.9709587839E-01
  1.5231354854E+08  2.7111682218E+00  9.2586875024E-01
  1.5231354854E+08  2.9275222379E+00  9.5978425460E-01
  1.5231354854E+08  3.1611415273E+00  9.9982697952E-01
  1.5231354854E+08  3.4134038766E+00  1.0471798123E+00
  1.5231354854E+08  3.6857970212E+00  1.1032653842E+00
  1.5231354854E+08  3.9799274192E+00  1.1697964243E+00
  1.5231354854E+08  4.2975297259E+00  1.2488369144E+00
  1.5231354854E+08  4.6404770237E+00  1.3428764670E+00
  1.5231354854E+08  5.0107918691E+00  1.4549208133E+00
  1.5231354854E+08  5.4106582205E+00  1.5886019190E+00
  1.5231354854E+08  5.8424343185E+00  1.7483121107E+00
  1.5231354854E+08  6.3086665938E+00  1.9393675286E+00
  1.5231354854E+08  6.8121046848E+00  2.1682073910E+00
  1.5231354854E+08  7.3557176540E+00  2.4426370529E+00
  1.5231354854E+08  7.9427114979E+00  2.7721246725E+00
  1.5231354854E+08  8.5765480550E+00  3.1681634735E+00
  1.5231354854E+08  9.2609654221E+00  3.6447143131E+00
  1.5231354854E+08  1.0000000000E+01  4.2187466377E+00
  1.9534798701E+08  5.0000000000E-03  7.2009366032E-01
  1.9534798701E+08  5.3990051491E-03  7.2010059842E-01
  1.9534798701E+08  5.8298513201E-03  7.2010809608E-01
  1.9534798701E+08  6.2950794591E-03  7.2011619891E-01
  1.9534798701E+08  6.7974332828E-03  7.2012495637E-01
  1.9534798701E+08  7.3398754590E-03  7.2013442201E-01
  1.9534798701E+08  7.9256050794E-03  7.2014465392E-01
  1.9534798701E+08  8.5580765267E-03  7.2015571504E-01
  1.9534798701E+08  9.2410198469E-03  7.2016767366E-01
  1.9534798701E+08  9.9784627473E-03  7.2018060388E-01
  1.9534798701E+08  1.0774754351E-02  7.2019458610E-01
  1.9534798701E+08  1.1634590844E-02  7.2020970762E-01
  1.9534798701E+08  1.2563043175E-02  7.2022606329E-01
  1.9534798701E+08  1.3565586958E-02  7.2024375615E-01
  1.9534798701E+08  1.4648134767E-02  7.2026289826E-01
  1.9534798701E+08  1.5817071007E-02  7.2028361148E-01
  1.9534798701E+08  1.7079289562E-02  7.2030602846E-01
  1.9534798701E+08  1.8442234458E-02  7.2033029363E-01
  1.9534798701E+08  1.9913943760E-02  7.2035656438E-01
  1.9534798701E+08  2.1503096980E-02  7.2038501230E-01
  1.9534798701E+08  2.3219066263E-02  7.2041582464E-01
  1.9534798701E+08  2.5071971662E-02  7.2044920582E-01
  1.9534798701E+08  2.7072740821E-02  7.2048537924E-01
  1.9534798701E+08  2.9233173419E-02  7.2052458919E-01
  1.9534798701E+08  3.1566010763E-02  7.2056710309E-01
  1.9534798701E+08  3.4085010929E-02  7.2061321391E-01
  1.9534798701E+08  3.6805029903E-02  7.2066324295E-01
  1.9534798701E+08  3.9742109192E-02  7.2071754291E-01
  1.9534798701E+08  4.2913570433E-02  7.2077650140E-01
  1.9534798701E+08  4.6338117547E-02  7.2084054487E-01
  1.9534798701E+08  5.0035947047E-02  7.2091014308E-01
  1.9534798701E+08  5.4028867150E-02  7.2098581411E-01
  1.9534798701E+08  5.8340426388E-02  7.2106813007E-01
  1.9534798701E+08  6.2996052495E-02  7.2115772365E-01
  1.9534798701E+08  6.8023202359E-02  7.2125529547E-01
  1.9534798701E+08  7.3451523959E-02  7.2136162253E-01
  1.9534798701E+08  7.9313031213E-02  7.2147756785E-01
  1.9534798701E+08  8.5642292783E-02  7.2160409155E-01
  1.9534798701E+08  9.2476635943E-02  7.2174226346E-01
  1.9534798701E+08  9.9856366727E-02  7.2189327771E-01
  1.9534798701E+08  1.0782500763E-01  7.2205846946E-01
  1.9534798701E+08  1.1642955428E-01  7.2223933423E-01
  1.9534798701E+08  1.2572075261E-01  7.2243755023E-01
  1.9534798701E+08  1.3575339814E-01  7.2265500417E-01
  1.9534798701E+08  1.4658665911E-01  7.2289382120E-01
  1.9534798701E+08  1.5828442547E-01  7.2315639969E-01
  1.9534798701E+08  1.7091568562E-01  7.2344545166E-01
  1.9534798701E+08  1.8455493335E-01  7.2376404989E-01
  1.9534798701E+08  1.9928260709E-01  7.2411568287E-01
  1.9534798701E+08  2.1518556436E-01  7.2450431906E-01
  1.9534798701E+08  2.3235759400E-01  7.2493448197E-01
  1.9534798701E+08  2.5089996929E-01  7.2541133832E-01
  1.9534798701E+08  2.7092204523E-01  7.2594080127E-01
  1.9534798701E+08  2.9254190344E-01  7.2652965187E-01
  1.9534798701E+08  3.1588704860E-01  7.2718568175E-01
  1.9534798701E+08  3.4109516039E-01  7.2791786117E-01
  1.9534798701E+08  3.6831490545E-01  7.2873653709E-01
  1.9534798701E+08  3.9770681421E-01  7.2965366668E-01
  1.9534798701E+08  4.2944422755E-01  7.3068309302E-01
  1.9534798701E+08  4.6371431916E-01  7.3184087090E-01
  1.9534798701E+08  5.0071919938E-01  7.3314565200E-01
  1.9534798701E+08  5.4067710714E-01  7.3461914072E-01
  1.9534798701E+08  5.8382369709E-01  7.3628663390E-01
  1.9534798701E+08  6.3041342936E-01  7.3817766037E-01
  1.9534798701E+08  6.8072107024E-01  7.4032673960E-01
  1.9534798701E+08  7.3504331267E-01  7.4277428291E-01
  1.9534798701E+08  7.9370052598E-01  7.4556766471E-01
  1.9534798701E+08  8.5703864533E-01  7.4876249705E-01
  1.9534798701E+08  9.2543121183E-01  7.5242414802E-01
  1.9534798701E+08  9.9928157557E-01  7.5662955534E-01
  1.9534798701E+08  1.0790252744E+00  7.6146939340E-01
  1.9534798701E+08  1.1651326025E+00  7.6705066496E-01
  1.9534798701E+08  1.2581113840E+00  7.7349981074E-01
  1.9534798701E+08  1.3585099681E+00  7.8096644236E-01
  1.9534798701E+08  1.4669204626E+00  7.8962782527E-01
  1.9534798701E+08  1.5839822262E+00  7.9969428175E-01
  1.9534798701E+08  1.7103856391E+00  8.1141569519E-01
  1.9534798701E+08  1.8468761745E+00  8.2508935888E-01
  1.9534798701E+08  1.9942587952E+00  8.4106945487E-01
  1.9534798701E+08  2.1534027008E+00  8.5977850125E-01
  1.9534798701E+08  2.3252464539E+00  8.8172120748E-01
  1.9534798701E+08  2.5108035155E+00  9.0750122829E-01
  1.9534798701E+08  2.7111682218E+00  9.3784146821E-01
  1.9534798701E+08  2.9275222379E+00  9.7360867495E-01
  1.9534798701E+08  3.1611415273E+00  1.0158432662E+00
  1.9534798701E+08  3.4134038766E+00  1.0657955275E+00
  1.9534798701E+08  3.6857970212E+00  1.1249695353E+00
  1.9534798701E+08  3.9799274192E+00  1.1951765498E+00
  1.9534798701E+08  4.2975297259E+00  1.2785998869E+00
  1.9534798701E+08  4.6404770237E+00  1.3778738203E+00
  1.9534798701E+08  5.0107918691E+00  1.4961796249E+00
  1.9534798701E+08  5.4106582205E+00  1.6373624989E+00
  1.9534798701E+08  5.8424343185E+00  1.8060740018E+00
  1.9534798701E+08  6.3086665938E+00  2.0079457154E+00
  1.9534798701E+08  6.8121046848E+00  2.2498010348E+00
  1.9534798701E+08  7.3557176540E+00  2.5399136073E+00
  1.9534798701E+08  7.9427114979E+00  2.8883228610E+00
  1.9534798701E+08  8.5765480550E+00  3.3072194648E+00
  1.9534798701E+08  9.2609654221E+00  3.8114164311E+00
  1.9534798701E+08  1.0000000000E+01  4.4189251711E+00
  2.5054131032E+08  5.0000000000E-03  7.2082549131E-01
  2.5054131032E+08  5.3990051491E-03  7.2083286521E-01
  2.5054131032E+08  5.8298513201E-03  7.2084083375E-01
  2.5054131032E+08  6.2950794591E-03  7.2084944542E-01
  2.5054131032E+08  6.7974332828E-03  7.2085875275E-01
  2.5054131032E+08  7.3398754590E-03  7.2086881264E-01
  2.5054131032E+08  7.9256050794E-03  7.2087968680E-01
  2.5054131032E+08  8.5580765267E-03  7.2089144212E-01
  2.5054131032E+08  9.2410198469E-03  7.2090415112E-01
  2.5054131032E+08  9.9784627473E-03  7.2091789252E-01
  2.5054131032E+08  1.0774754351E-02  7.2093275174E-01
  2.5054131032E+08  1.1634590844E-02  7.2094882151E-01
  2.5054131032E+08  1.2563043175E-02  7.2096620256E-01
  2.5054131032E+08  1.3565586958E-02  7.2098500434E-01
  2.5054131032E+08  1.4648134767E-02  7.2100534586E-01
  2.5054131032E+08  1.5817071007E-02  7.2102735654E-01
  2.5054131032E+08  1.7079289562E-02  7.2105117722E-01
  2.5054131032E+08  1.8442234458E-02  7.2107696129E-01
  2.5054131032E+08  1.9913943760E-02  7.2110487585E-01
  2.5054131032E+08  2.1503096980E-02  7.2113510307E-01
  2.5054131032E+08  2.3219066263E-02  7.2116784173E-01
  2.5054131032E+08  2.5071971662E-02  7.2120330882E-01
  2.5054131032E+08  2.7072740821E-02  7.2124174145E-01
  2.5054131032E+08  2.9233173419E-02  7.2128339889E-01
  2.5054131032E+08  3.1566010763E-02  7.2132856492E-01
  2.5054131032E+08  3.4085010929E-02  7.2137755040E-01
  2.5054131032E+08  3.6805029903E-02  7.2143069619E-01
  2.5054131032E+08  3.9742109192E-02  7.2148837644E-01
  2.5054131032E+08  4.2913570433E-02  7.2155100226E-01
  2.5054131032E+08  4.6338117547E-02  7.2161902593E-01
  2.5054131032E+08  5.0035947047E-02  7.2169294552E-01
  2.5054131032E+08  5.4028867150E-02  7.2177331029E-01
  2.5054131032E+08  5.8340426388E-02  7.2186072671E-01
  2.5054131032E+08  6.2996052495E-02  7.2195586529E-01
  2.5054131032E+08  6.8023202359E-02  7.2205946845E-01
  2.5054131032E+08  7.3451523959E-02  7.2217235936E-01
  2.5054131032E+08  7.9313031213E-02  7.2229545218E-01
  2.5054131032E+08  8.5642292783E-02  7.2242976368E-01
  2.5054131032E+08  9.2476635943E-02  7.2257642661E-01
  2.5054131032E+08  9.9856366727E-02  7.2273670504E-01
  2.5054131032E+08  1.0782500763E-01  7.2291201203E-01
  2.5054131032E+08  1.1642955428E-01  7.2310393000E-01
  2.5054131032E+08  1.2572075261E-01  7.2331423426E-01
  2.5054131032E+08  1.3575339814E-01  7.2354492020E-01
  2.5054131032E+08  1.4658665911E-01  7.2379823488E-01
  2.5054131032E+08  1.5828442547E-01  7.2407671360E-01
  2.5054131032E+08  1.7091568562E-01  7.2438322255E-01
  2.5054131032E+08  1.8455493335E-01  7.2472100838E-01
  2.5054131032E+08  1.9928260709E-01  7.2509375609E-01
  2.5054131032E+08  2.1518556436E-01  7.2550565663E-01
  2.5054131032E+08  2.3235759400E-01  7.2596148608E-01
  2.5054131032E+08  2.5089996929E-01  7.2646669829E-01
  2.5054131032E+08  2.7092204523E-01  7.2702753368E-01
  2.5054131032E+08  2.9254190344E-01  7.2765114704E-01
  2.5054131032E+08  3.1588704860E-01  7.2834575776E-01
  2.5054131032E+08  3.4109516039E-01  7.2912082678E-01
  2.5054131032E+08  3.6831490545E-01  7.2998726510E-01
  2.5054131032E+08  3.9770681421E-01  7.3095767971E-01
  2.5054131032E+08  4.2944422755E-01  7.3204666394E-01
  2.5054131032E+08  4.6371431916E-01  7.3327114066E-01
  2.5054131032E+08  5.0071919938E-01  7.3465076814E-01
  2.5054131032E+08  5.4067710714E-01  7.3620842039E-01
  2.5054131032E+08  5.8382369709E-01  7.3797075613E-01
  2.5054131032E+08  6.3041342936E-01  7.3996889305E-01
  2.5054131032E+08  6.8072107024E-01  7.4223920805E-01
  2.5054131032E+08  7.3504331267E-01  7.4482428808E-01
  2.5054131032E+08  7.9370052598E-01  7.4777406062E-01
  2.5054131032E+08  8.5703864533E-01  7.5114713908E-01
  2.5054131032E+08  9.2543121183E-01  7.5501242632E-01
  2.5054131032E+08  9.9928157557E-01  7.5945103046E-01
  2.5054131032E+08  1.0790252744E+00  7.6455855431E-01
  2.5054131032E+08  1.1651326025E+00  7.7044783440E-01
  2.5054131032E+08  1.2581113840E+00  7.7725222889E-01
  2.5054131032E+08  1.3585099681E+00  7.8512956402E-01
  2.5054131032E+08  1.4669204626E+00  7.9426687598E-01
  2.5054131032E+08  1.5839822262E+00  8.0488612738E-01
  2.5054131032E+08  1.7103856391E+00  8.1725108821E-01
  2.5054131032E+08  1.8468761745E+00  8.3167564574E-01
  2.5054131032E+08  1.9942587952E+00  8.4853383620E-01
  2.5054131032E+08  2.1534027008E+00  8.6827197041E-01
  2.5054131032E+08  2.3252464539E+00  8.9142330490E-01
  2.5054131032E+08  2.5108035155E+00  9.1862579737E-01
  2.5054131032E+08  2.7111682218E+00  9.5064361805E-01
  2.5054131032E+08  2.9275222379E+00  9.8839322787E-01
  2.5054131032E+08  3.1611415273E+00  1.0329749969E+00
  2.5054131032E+08  3.4134038766E+00  1.0857116051E+00
  2.5054131032E+08  3.6857970212E+00  1.1481946438E+00
  2.5054131032E+08  3.9799274192E+00  1.2223412756E+00
  2.5054131032E+08  4.2975297259E+00  1.3104631211E+00
  2.5054131032E+08  4.6404770237E+00  1.4153500452E+00
  2.5054131032E+08  5.0107918691E+00  1.5403721903E+00
  2.5054131032E+08  5.4106582205E+00  1.6896042470E+00
  2.5054131032E+08  5.8424343185E+00  1.8679768866E+00
  2.5054131032E+08  6.3086665938E+00  2.0814614396E+00
  2.5054131032E+08  6.8121046848E+00  2.3372952346E+00
  2.5054131032E+08  7.3557176540E+00  2.6442566658E+00
  2.5054131032E+08  7.9427114979E+00  3.0130011582E+00
  2.5054131032E+08  8.5765480550E+00  3.4564717307E+00
  2.5054131032E+08  9.2609654221E+00  3.9904009997E+00
  2.5054131032E+08  1.0000000000E+01  4.6339252777E+00
  3.2132887129E+08  5.0000000000E-03  7.2161337082E-01
  3.2132887129E+08  5.3990051491E-03  7.2162120907E-01
  3.2132887129E+08  5.8298513201E-03  7.2162967936E-01
  3.2132887129E+08  6.2950794591E-03  7.2163883321E-01
  3.2132887129E+08  6.7974332828E-03  7.2164872643E-01
  3.2132887129E+08  7.3398754590E-03  7.2165941952E-01
  3.2132887129E+08  7.9256050794E-03  7.2167097803E-01
  3.2132887129E+08  8.5580765267E-03  7.2168347302E-01
  3.2132887129E+08  9.2410198469E-03  7.2169698159E-01
  3.2132887129E+08  9.9784627473E-03  7.2171158734E-01
  3.2132887129E+08  1.0774754351E-02  7.2172738104E-01
  3.2132887129E+08  1.1634590844E-02  7.2174446121E-01
  3.2132887129E+08  1.2563043175E-02  7.2176293485E-01
  3.2132887129E+08  1.3565586958E-02  7.2178291825E-01
  3.2132887129E+08  1.4648134767E-02  7.2180453781E-01
  3.2132887129E+08  1.5817071007E-02  7.2182793101E-01
  3.2132887129E+08  1.7079289562E-02  7.2185324744E-01
  3.2132887129E+08  1.8442234458E-02  7.2188065001E-01
  3.2132887129E+08  1.9913943760E-02  7.2191031616E-01
  3.2132887129E+08  2.1503096980E-02  7.2194243937E-01
  3.2132887129E+08  2.3219066263E-02  7.2197723068E-01
  3.2132887129E+08  2.5071971662E-02  7.2201492050E-01
  3.2132887129E+08  2.7072740821E-02  7.2205576055E-01
  3.2132887129E+08  2.9233173419E-02  7.2210002607E-01
  3.2132887129E+08  3.1566010763E-02  7.2214801825E-01
  3.2132887129E+08  3.4085010929E-02  7.2220006703E-01
  3.2132887129E+08  3.6805029903E-02  7.2225653413E-01
  3.2132887129E+08  3.9742109192E-02  7.2231781657E-01
  3.2132887129E+08  4.2913570433E-02  7.2238435051E-01
  3.2132887129E+08  4.6338117547E-02  7.2245661573E-01
  3.2132887129E+08  5.0035947047E-02  7.2253514052E-01
  3.2132887129E+08  5.4028867150E-02  7.2262050740E-01
  3.2132887129E+08  5.8340426388E-02  7.2271335941E-01
  3.2132887129E+08  6.2996052495E-02  7.2281440744E-01
  3.2132887129E+08  6.8023202359E-02  7.2292443845E-01
  3.2132887129E+08  7.3451523959E-02  7.2304432486E-01
  3.2132887129E+08  7.9313031213E-02  7.2317503535E-01
  3.2132887129E+08  8.5642292783E-02  7.2331764711E-01
  3.2132887129E+08  9.2476635943E-02  7.2347335999E-01
  3.2132887129E+08  9.9856366727E-02  7.2364351267E-01
  3.2132887129E+08  1.0782500763E-01  7.2382960128E-01
  3.2132887129E+08  1.1642955428E-01  7.2403330095E-01
  3.2132887129E+08  1.2572075261E-01  7.2425649057E-01
  3.2132887129E+08  1.3575339814E-01  7.2450128148E-01
  3.2132887129E+08  1.4658665911E-01  7.2477005080E-01
  3.2132887129E+08  1.5828442547E-01  7.2506547997E-01
  3.2132887129E+08  1.7091568562E-01  7.2539059968E-01
  3.2132887129E+08  1.8455493335E-01  7.2574884215E-01
  3.2132887129E+08  1.9928260709E-01  7.2614410211E-01
  3.2132887129E+08  2.1518556436E-01  7.2658080806E-01
  3.2132887129E+08  2.3235759400E-01  7.2706400564E-01
  3.2132887129E+08  2.5089996929E-01  7.2759945532E-01
