 #  SO virial mass [solar mass]  red-shift  b 
  1.8400839023E+05  5.8298513201E-03  7.1185214943E-01
  1.8400839023E+05  6.2950794591E-03  7.1185329607E-01
  1.8400839023E+05  6.7974332828E-03  7.1185453648E-01
  1.8400839023E+05  7.3398754590E-03  7.1185587854E-01
  1.8400839023E+05  7.9256050794E-03  7.1185733080E-01
  1.8400839023E+05  8.5580765267E-03  7.1185890258E-01
  1.8400839023E+05  9.2410198469E-03  7.1186060401E-01
  1.8400839023E+05  9.9784627473E-03  7.1186244614E-01
  1.8400839023E+05  1.0774754351E-02  7.1186444104E-01
  1.8400839023E+05  1.1634590844E-02  7.1186660186E-01
  1.8400839023E+05  1.2563043175E-02  7.1186894295E-01
  1.8400839023E+05  1.3565586958E-02  7.1187148002E-01
  1.8400839023E+05  1.4648134767E-02  7.1187423025E-01
  1.8400839023E+05  1.5817071007E-02  7.1187721244E-01
  1.8400839023E+05  1.7079289562E-02  7.1188044719E-01
  1.8400839023E+05  1.8442234458E-02  7.1188395711E-01
  1.8400839023E+05  1.9913943760E-02  7.1188776702E-01
  1.8400839023E+05  2.1503096980E-02  7.1189190421E-01
  1.8400839023E+05  2.3219066263E-02  7.1189639871E-01
  1.8400839023E+05  2.5071971662E-02  7.1190128363E-01
  1.8400839023E+05  2.7072740821E-02  7.1190659547E-01
  1.8400839023E+05  2.9233173419E-02  7.1191237457E-01
  1.8400839023E+05  3.1566010763E-02  7.1191866558E-01
  1.8400839023E+05  3.4085010929E-02  7.1192551793E-01
  1.8400839023E+05  3.6805029903E-02  7.1193298651E-01
  1.8400839023E+05  3.9742109192E-02  7.1194113228E-01
  1.8400839023E+05  4.2913570433E-02  7.1195002313E-01
  1.8400839023E+05  4.6338117547E-02  7.1195973472E-01
  1.8400839023E+05  5.0035947047E-02  7.1197035158E-01
  1.8400839023E+05  5.4028867150E-02  7.1198196828E-01
  1.8400839023E+05  5.8340426388E-02  7.1199469079E-01
  1.8400839023E+05  6.2996052495E-02  7.1200863813E-01
  1.8400839023E+05  6.8023202359E-02  7.1202394420E-01
  1.8400839023E+05  7.3451523959E-02  7.1204075989E-01
  1.8400839023E+05  7.9313031213E-02  7.1205925562E-01
  1.8400839023E+05  8.5642292783E-02  7.1207962424E-01
  1.8400839023E+05  9.2476635943E-02  7.1210208435E-01
  1.8400839023E+05  9.9856366727E-02  7.1212688431E-01
  1.8400839023E+05  1.0782500763E-01  7.1215430677E-01
  1.8400839023E+05  1.1642955428E-01  7.1218467410E-01
  1.8400839023E+05  1.2572075261E-01  7.1221835467E-01
  1.8400839023E+05  1.3575339814E-01  7.1225577023E-01
  1.8400839023E+05  1.4658665911E-01  7.1229740459E-01
  1.8400839023E+05  1.5828442547E-01  7.1234381375E-01
  1.8400839023E+05  1.7091568562E-01  7.1239563793E-01
  1.8400839023E+05  1.8455493335E-01  7.1245361562E-01
  1.8400839023E+05  1.9928260709E-01  7.1251860012E-01
  1.8400839023E+05  2.1518556436E-01  7.1259157912E-01
  1.8400839023E+05  2.3235759400E-01  7.1267369767E-01
  1.8400839023E+05  2.5089996929E-01  7.1276628529E-01
  1.8400839023E+05  2.7092204523E-01  7.1287088797E-01
  1.8400839023E+05  2.9254190344E-01  7.1298930584E-01
  1.8400839023E+05  3.1588704860E-01  7.1312363760E-01
  1.8400839023E+05  3.4109516039E-01  7.1327633292E-01
  1.8400839023E+05  3.6831490545E-01  7.1345025413E-01
  1.8400839023E+05  3.9770681421E-01  7.1364874892E-01
  1.8400839023E+05  4.2944422755E-01  7.1387573595E-01
  1.8400839023E+05  4.6371431916E-01  7.1413580557E-01
  1.8400839023E+05  5.0071919938E-01  7.1443433831E-01
  1.8400839023E+05  5.4067710714E-01  7.1477764429E-01
  1.8400839023E+05  5.8382369709E-01  7.1517312710E-01
  1.8400839023E+05  6.3041342936E-01  7.1562947645E-01
  1.8400839023E+05  6.8072107024E-01  7.1615689487E-01
  1.8400839023E+05  7.3504331267E-01  7.1676736439E-01
  1.8400839023E+05  7.9370052598E-01  7.1747496072E-01
  1.8400839023E+05  8.5703864533E-01  7.1829622364E-01
  1.8400839023E+05  9.2543121183E-01  7.1925059447E-01
  1.8400839023E+05  9.9928157557E-01  7.2036093374E-01
  1.8400839023E+05  1.0790252744E+00  7.2165413496E-01
  1.8400839023E+05  1.1651326025E+00  7.2316185386E-01
  1.8400839023E+05  1.2581113840E+00  7.2492137651E-01
  1.8400839023E+05  1.3585099681E+00  7.2697665568E-01
  1.8400839023E+05  1.4669204626E+00  7.2937954979E-01
  1.8400839023E+05  1.5839822262E+00  7.3219130646E-01
  1.8400839023E+05  1.7103856391E+00  7.3548434234E-01
  1.8400839023E+05  1.8468761745E+00  7.3934438094E-01
  1.8400839023E+05  1.9942587952E+00  7.4387302154E-01
  1.8400839023E+05  2.1534027008E+00  7.4919083121E-01
  1.8400839023E+05  2.3252464539E+00  7.5544106670E-01
  1.8400839023E+05  2.5108035155E+00  7.6279415676E-01
  1.8400839023E+05  2.7111682218E+00  7.7145310628E-01
  1.8400839023E+05  2.9275222379E+00  7.8166000766E-01
  1.8400839023E+05  3.1611415273E+00  7.9370389855E-01
  1.8400839023E+05  3.4134038766E+00  8.0793023775E-01
  1.8400839023E+05  3.6857970212E+00  8.2475234749E-01
  1.8400839023E+05  3.9799274192E+00  8.4466522454E-01
  1.8400839023E+05  4.2975297259E+00  8.6826222951E-01
  1.8400839023E+05  4.6404770237E+00  8.9625524698E-01
  1.8400839023E+05  5.0107918691E+00  9.2949906735E-01
  1.8400839023E+05  5.4106582205E+00  9.6902086134E-01
  1.8400839023E+05  5.8424343185E+00  1.0160558544E+00
  1.8400839023E+05  6.3086665938E+00  1.0720904914E+00
  1.8400839023E+05  6.8121046848E+00  1.1389147067E+00
  1.8400839023E+05  7.3557176540E+00  1.2186852405E+00
  1.8400839023E+05  7.9427114979E+00  1.3140023413E+00
  1.8400839023E+05  8.5765480550E+00  1.4280027593E+00
  1.8400839023E+05  9.2609654221E+00  1.5644724968E+00
  1.8400839023E+05  1.0000000000E+01  1.7279835586E+00
  2.3599784110E+05  5.0000000000E-03  7.1192650131E-01
  2.3599784110E+05  5.3990051491E-03  7.1192758207E-01
  2.3599784110E+05  5.8298513201E-03  7.1192875082E-01
  2.3599784110E+05  6.2950794591E-03  7.1193001487E-01
  2.3599784110E+05  6.7974332828E-03  7.1193138216E-01
  2.3599784110E+05  7.3398754590E-03  7.1193286134E-01
  2.3599784110E+05  7.9256050794E-03  7.1193446178E-01
  2.3599784110E+05  8.5580765267E-03  7.1193619371E-01
  2.3599784110E+05  9.2410198469E-03  7.1193806824E-01
  2.3599784110E+05  9.9784627473E-03  7.1194009750E-01
  2.3599784110E+05  1.0774754351E-02  7.1194229469E-01
  2.3599784110E+05  1.1634590844E-02  7.1194467421E-01
  2.3599784110E+05  1.2563043175E-02  7.1194725177E-01
  2.3599784110E+05  1.3565586958E-02  7.1195004456E-01
  2.3599784110E+05  1.4648134767E-02  7.1195307134E-01
  2.3599784110E+05  1.5817071007E-02  7.1195635265E-01
  2.3599784110E+05  1.7079289562E-02  7.1195991098E-01
  2.3599784110E+05  1.8442234458E-02  7.1196377099E-01
  2.3599784110E+05  1.9913943760E-02  7.1196795973E-01
  2.3599784110E+05  2.1503096980E-02  7.1197250691E-01
  2.3599784110E+05  2.3219066263E-02  7.1197744521E-01
  2.3599784110E+05  2.5071971662E-02  7.1198281061E-01
  2.3599784110E+05  2.7072740821E-02  7.1198864275E-01
  2.3599784110E+05  2.9233173419E-02  7.1199498540E-01
  2.3599784110E+05  3.1566010763E-02  7.1200188693E-01
  2.3599784110E+05  3.4085010929E-02  7.1200940089E-01
