 # k        P(k) at red-shift  4.99999999999999924E-003
  1.0000000000E-04  7.1902855018E+02
  1.0209606623E-04  7.3354769620E+02
  1.0423606740E-04  7.4835946292E+02
  1.0642092441E-04  7.6346971321E+02
  1.0865157747E-04  7.7888442528E+02
  1.1092898649E-04  7.9460969481E+02
  1.1325413152E-04  8.1065173716E+02
  1.1562801312E-04  8.2701688953E+02
  1.1805165286E-04  8.4371161323E+02
  1.2052609369E-04  8.6074249591E+02
  1.2305240044E-04  8.7811625390E+02
  1.2563166025E-04  8.9583973452E+02
  1.2826498305E-04  9.1391991842E+02
  1.3095350205E-04  9.3236392204E+02
  1.3369837418E-04  9.5117899993E+02
  1.3650078065E-04  9.7037254732E+02
  1.3936192742E-04  9.8995210250E+02
  1.4228304572E-04  1.0099253494E+03
  1.4526539259E-04  1.0303001201E+03
  1.4831025143E-04  1.0510843974E+03
  1.5141893253E-04  1.0722863175E+03
  1.5459277364E-04  1.0939141724E+03
  1.5783314057E-04  1.1159764128E+03
  1.6114142773E-04  1.1384816506E+03
  1.6451905878E-04  1.1614386617E+03
  1.6796748721E-04  1.1848563887E+03
  1.7148819699E-04  1.2087439436E+03
  1.7508270317E-04  1.2331106106E+03
  1.7875255259E-04  1.2579658487E+03
  1.8249932448E-04  1.2833192948E+03
  1.8632463119E-04  1.3091807663E+03
  1.9023011887E-04  1.3355602640E+03
  1.9421746815E-04  1.3624679748E+03
  1.9828839491E-04  1.3899142748E+03
  2.0244465100E-04  1.4179097317E+03
  2.0668802496E-04  1.4464651082E+03
  2.1102034286E-04  1.4755913643E+03
  2.1544346900E-04  1.5052996606E+03
  2.1995930680E-04  1.5356013609E+03
  2.2456979955E-04  1.5665080349E+03
  2.2927693129E-04  1.5980314614E+03
  2.3408272762E-04  1.6301836305E+03
  2.3898925662E-04  1.6629767472E+03
  2.4399862973E-04  1.6964232334E+03
  2.4911300261E-04  1.7305357307E+03
  2.5433457613E-04  1.7653271037E+03
  2.5966559729E-04  1.8008104419E+03
  2.6510836019E-04  1.8369990627E+03
  2.7066520700E-04  1.8739065138E+03
  2.7633852901E-04  1.9115465757E+03
  2.8213076759E-04  1.9499332641E+03
  2.8804441534E-04  1.9890808325E+03
  2.9408201706E-04  2.0290037739E+03
  3.0024617091E-04  2.0697168234E+03
  3.0653952951E-04  2.1112349605E+03
  3.1296480107E-04  2.1535734102E+03
  3.1952475058E-04  2.1967476460E+03
  3.2622220097E-04  2.2407733908E+03
  3.3306003436E-04  2.2856666188E+03
  3.4004119327E-04  2.3314435569E+03
  3.4716868189E-04  2.3781206863E+03
  3.5444556740E-04  2.4257147432E+03
  3.6187498124E-04  2.4742427203E+03
  3.6946012052E-04  2.5237218671E+03
  3.7720424934E-04  2.5741696908E+03
  3.8511070023E-04  2.6256039565E+03
  3.9318287557E-04  2.6780426875E+03
  4.0142424905E-04  2.7315041653E+03
  4.0983836718E-04  2.7860069289E+03
  4.1842885079E-04  2.8415697746E+03
  4.2719939663E-04  2.8982117548E+03
  4.3615377892E-04  2.9559521770E+03
  4.4529585099E-04  3.0148106020E+03
  4.5462954695E-04  3.0748068423E+03
  4.6415888336E-04  3.1359609601E+03
  4.7388796097E-04  3.1982932639E+03
  4.8382096649E-04  3.2618243063E+03
  4.9396217439E-04  3.3265748802E+03
  5.0431594872E-04  3.3925660151E+03
  5.1488674501E-04  3.4598189728E+03
  5.2567911220E-04  3.5283552423E+03
  5.3669769455E-04  3.5981965352E+03
  5.4794723369E-04  3.6693647789E+03
  5.5943257062E-04  3.7418821113E+03
  5.7115864781E-04  3.8157708731E+03
  5.8313051135E-04  3.8910536004E+03
  5.9535331308E-04  3.9677530169E+03
  6.0783231283E-04  4.0458920247E+03
  6.2057288068E-04  4.1254936950E+03
  6.3358049927E-04  4.2065812577E+03
  6.4686076615E-04  4.2891780909E+03
  6.6041939623E-04  4.3733077088E+03
  6.7426222418E-04  4.4589937493E+03
  6.8839520696E-04  4.5462599611E+03
  7.0282442643E-04  4.6351301890E+03
  7.1755609189E-04  4.7256283596E+03
  7.3259654282E-04  4.8177784648E+03
  7.4795225156E-04  4.9116045453E+03
  7.6362982613E-04  5.0071306729E+03
  7.7963601304E-04  5.1043809316E+03
  7.9597770023E-04  5.2033793980E+03
  8.1266192001E-04  5.3041501206E+03
  8.2969585208E-04  5.4067170977E+03
  8.4708682666E-04  5.5111042545E+03
  8.6484232757E-04  5.6173354196E+03
  8.8296999555E-04  5.7254342990E+03
  9.0147763145E-04  5.8354244504E+03
  9.2037319966E-04  5.9473292554E+03
  9.3966483150E-04  6.0611718909E+03
  9.5936082871E-04  6.1769752990E+03
  9.7946966707E-04  6.2947621558E+03
  1.0000000000E-03  6.4145548390E+03
  1.0209606623E-03  6.5363753940E+03
  1.0423606740E-03  6.6602454992E+03
  1.0642092441E-03  6.7861864288E+03
  1.0865157747E-03  6.9142190159E+03
  1.1092898649E-03  7.0443636131E+03
  1.1325413152E-03  7.1766400517E+03
  1.1562801312E-03  7.3110676006E+03
  1.1805165286E-03  7.4476649228E+03
  1.2052609369E-03  7.5864500307E+03
  1.2305240044E-03  7.7274402406E+03
  1.2563166025E-03  7.8706521250E+03
  1.2826498305E-03  8.0161014647E+03
  1.3095350205E-03  8.1638031980E+03
  1.3369837418E-03  8.3137713701E+03
  1.3650078065E-03  8.4660190802E+03
  1.3936192742E-03  8.6205584274E+03
  1.4228304572E-03  8.7774004561E+03
  1.4526539259E-03  8.9365550988E+03
  1.4831025143E-03  9.0980311190E+03
  1.5141893253E-03  9.2618360518E+03
