 # k        T(k) 
  1.5459277364E-03  9.6648671773E-01
  1.5783314057E-03  9.6537723275E-01
  1.6114142773E-03  9.6423608681E-01
  1.6451905878E-03  9.6306261238E-01
  1.6796748721E-03  9.6185613789E-01
  1.7148819699E-03  9.6061598812E-01
  1.7508270317E-03  9.5934148458E-01
  1.7875255259E-03  9.5803194593E-01
  1.8249932448E-03  9.5668668842E-01
  1.8632463119E-03  9.5530502629E-01
  1.9023011887E-03  9.5388627227E-01
  1.9421746815E-03  9.5242973794E-01
  1.9828839491E-03  9.5093473430E-01
  2.0244465100E-03  9.4940057213E-01
  2.0668802496E-03  9.4782656256E-01
  2.1102034286E-03  9.4621201747E-01
  2.1544346900E-03  9.4455625003E-01
  2.1995930680E-03  9.4285857516E-01
  2.2456979955E-03  9.4111831004E-01
  2.2927693129E-03  9.3933477458E-01
  2.3408272762E-03  9.3750729192E-01
  2.3898925662E-03  9.3563518893E-01
  2.4399862973E-03  9.3371779670E-01
  2.4911300261E-03  9.3175445100E-01
  2.5433457613E-03  9.2974449282E-01
  2.5966559729E-03  9.2768726876E-01
  2.6510836019E-03  9.2558213159E-01
  2.7066520700E-03  9.2342844063E-01
  2.7633852901E-03  9.2122556227E-01
  2.8213076759E-03  9.1897287035E-01
  2.8804441534E-03  9.1666974661E-01
  2.9408201706E-03  9.1431558112E-01
  3.0024617091E-03  9.1190977264E-01
  3.0653952951E-03  9.0945172902E-01
  3.1296480107E-03  9.0694086754E-01
  3.1952475058E-03  9.0437661528E-01
  3.2622220097E-03  9.0175840939E-01
  3.3306003436E-03  8.9908569744E-01
  3.4004119327E-03  8.9635793762E-01
  3.4716868189E-03  8.9357459905E-01
  3.5444556740E-03  8.9073516194E-01
  3.6187498124E-03  8.8783911779E-01
  3.6946012052E-03  8.8488596954E-01
  3.7720424934E-03  8.8187523169E-01
  3.8511070023E-03  8.7880643039E-01
  3.9318287557E-03  8.7567910346E-01
  4.0142424905E-03  8.7249280042E-01
  4.0983836718E-03  8.6924708246E-01
  4.1842885079E-03  8.6594152237E-01
  4.2719939663E-03  8.6257570439E-01
  4.3615377892E-03  8.5914922412E-01
  4.4529585099E-03  8.5566168825E-01
  4.5462954695E-03  8.5211271438E-01
  4.6415888336E-03  8.4850193066E-01
  4.7388796097E-03  8.4482897550E-01
  4.8382096649E-03  8.4109349715E-01
  4.9396217439E-03  8.3729515327E-01
  5.0431594872E-03  8.3343361047E-01
  5.1488674501E-03  8.2950854372E-01
  5.2567911220E-03  8.2551963584E-01
  5.3669769455E-03  8.2146657678E-01
  5.4794723369E-03  8.1734906304E-01
  5.5943257062E-03  8.1316679688E-01
  5.7115864781E-03  8.0891948557E-01
  5.8313051135E-03  8.0460684064E-01
  5.9535331308E-03  8.0022857698E-01
  6.0783231283E-03  7.9578441204E-01
  6.2057288068E-03  7.9127406490E-01
  6.3358049927E-03  7.8669725540E-01
  6.4686076615E-03  7.8205370324E-01
  6.6041939623E-03  7.7734312707E-01
  6.7426222418E-03  7.7256524361E-01
  6.8839520696E-03  7.6771976682E-01
  7.0282442643E-03  7.6280640708E-01
  7.1755609189E-03  7.5782487050E-01
  7.3259654282E-03  7.5277485819E-01
  7.4795225156E-03  7.4765606586E-01
  7.6362982613E-03  7.4246818329E-01
  7.7963601304E-03  7.3721089425E-01
  7.9597770023E-03  7.3188387638E-01
  8.1266192001E-03  7.2648680151E-01
  8.2969585208E-03  7.2101933615E-01
  8.4708682666E-03  7.1548114234E-01
  8.6484232757E-03  7.0987187895E-01
  8.8296999555E-03  7.0419120329E-01
  9.0147763145E-03  6.9843877341E-01
  9.2037319966E-03  6.9261425076E-01
  9.3966483150E-03  6.8671730363E-01
  9.5936082871E-03  6.8074761128E-01
  9.7946966707E-03  6.7470486874E-01
  1.0000000000E-02  6.6858879262E-01
  1.0209606623E-02  6.6239912773E-01
  1.0423606740E-02  6.5613565477E-01
  1.0642092441E-02  6.4979819909E-01
  1.0865157747E-02  6.4338664057E-01
  1.1092898649E-02  6.3690092475E-01
  1.1325413152E-02  6.3034107517E-01
  1.1562801312E-02  6.2370720709E-01
  1.1805165286E-02  6.1699954242E-01
  1.2052609369E-02  6.1021842607E-01
  1.2305240044E-02  6.0336434351E-01
  1.2563166025E-02  5.9643793957E-01
  1.2826498305E-02  5.8944003843E-01
  1.3095350205E-02  5.8237166459E-01
  1.3369837418E-02  5.7523406458E-01
  1.3650078065E-02  5.6802872942E-01
  1.3936192742E-02  5.6075741726E-01
  1.4228304572E-02  5.5342217611E-01
  1.4526539259E-02  5.4602536606E-01
  1.4831025143E-02  5.3856968081E-01
  1.5141893253E-02  5.3105816769E-01
  1.5459277364E-02  5.2349424597E-01
  1.5783314057E-02  5.1588172261E-01
  1.6114142773E-02  5.0822480507E-01
  1.6451905878E-02  5.0052811044E-01
  1.6796748721E-02  4.9279667030E-01
  1.7148819699E-02  4.8503593087E-01
  1.7508270317E-02  4.7725174774E-01
  1.7875255259E-02  4.6945037495E-01
  1.8249932448E-02  4.6163844792E-01
  1.8632463119E-02  4.5382296007E-01
  1.9023011887E-02  4.4601123317E-01
