 # k        T(k) 
  9.3966483150E+01  6.7280578716E-07
  9.5936082871E+01  6.4729511096E-07
  9.7946966707E+01  6.2274673979E-07
  1.0000000000E+02  5.9912459053E-07
  1.0209606623E+02  5.7639392361E-07
  1.0423606740E+02  5.5452129336E-07
  1.0642092441E+02  5.3347450024E-07
  1.0865157747E+02  5.1322254477E-07
  1.1092898649E+02  4.9373558318E-07
  1.1325413152E+02  4.7498488469E-07
  1.1562801312E+02  4.5694279028E-07
  1.1805165286E+02  4.3958267310E-07
  1.2052609369E+02  4.2287890018E-07
  1.2305240044E+02  4.0680679568E-07
  1.2563166025E+02  3.9134260541E-07
  1.2826498305E+02  3.7646346267E-07
  1.3095350205E+02  3.6214735534E-07
  1.3369837418E+02  3.4837309419E-07
  1.3650078065E+02  3.3512028236E-07
  1.3936192742E+02  3.2236928594E-07
  1.4228304572E+02  3.1010120565E-07
  1.4526539259E+02  2.9829784955E-07
  1.4831025143E+02  2.8694170675E-07
  1.5141893253E+02  2.7601592215E-07
  1.5459277364E+02  2.6550427199E-07
  1.5783314057E+02  2.5539114041E-07
  1.6114142773E+02  2.4566149683E-07
  1.6451905878E+02  2.3630087416E-07
  1.6796748721E+02  2.2729534785E-07
  1.7148819699E+02  2.1863151565E-07
  1.7508270317E+02  2.1029647817E-07
  1.7875255259E+02  2.0227782016E-07
  1.8249932448E+02  1.9456359242E-07
  1.8632463119E+02  1.8714229447E-07
  1.9023011887E+02  1.8000285780E-07
  1.9421746815E+02  1.7313462973E-07
  1.9828839491E+02  1.6652735792E-07
  2.0244465100E+02  1.6017117542E-07
  2.0668802496E+02  1.5405658625E-07
  2.1102034286E+02  1.4817445160E-07
  2.1544346900E+02  1.4251597640E-07
  2.1995930680E+02  1.3707269657E-07
  2.2456979955E+02  1.3183646657E-07
  2.2927693129E+02  1.2679944752E-07
  2.3408272762E+02  1.2195409572E-07
  2.3898925662E+02  1.1729315160E-07
  2.4399862973E+02  1.1280962910E-07
  2.4911300261E+02  1.0849680542E-07
  2.5433457613E+02  1.0434821116E-07
  2.5966559729E+02  1.0035762081E-07
  2.6510836019E+02  9.6519043648E-08
  2.7066520700E+02  9.2826714916E-08
  2.7633852901E+02  8.9275087344E-08
  2.8213076759E+02  8.5858823003E-08
  2.8804441534E+02  8.2572785450E-08
  2.9408201706E+02  7.9412032165E-08
  3.0024617091E+02  7.6371807274E-08
  3.0653952951E+02  7.3447534540E-08
  3.1296480107E+02  7.0634810620E-08
  3.1952475058E+02  6.7929398564E-08
  3.2622220097E+02  6.5327221572E-08
  3.3306003436E+02  6.2824356966E-08
  3.4004119327E+02  6.0417030402E-08
  3.4716868189E+02  5.8101610290E-08
  3.5444556740E+02  5.5874602424E-08
  3.6187498124E+02  5.3732644815E-08
  3.6946012052E+02  5.1672502714E-08
  3.7720424934E+02  4.9691063824E-08
  3.8511070023E+02  4.7785333688E-08
  3.9318287557E+02  4.5952431253E-08
  4.0142424905E+02  4.4189584596E-08
  4.0983836718E+02  4.2494126813E-08
  4.1842885079E+02  4.0863492064E-08
  4.2719939663E+02  3.9295211759E-08
  4.3615377892E+02  3.7786910893E-08
  4.4529585099E+02  3.6336304517E-08
  4.5462954695E+02  3.4941194341E-08
  4.6415888336E+02  3.3599465463E-08
  4.7388796097E+02  3.2309083221E-08
  4.8382096649E+02  3.1068090169E-08
  4.9396217439E+02  2.9874603155E-08
  5.0431594872E+02  2.8726810519E-08
  5.1488674501E+02  2.7622969391E-08
  5.2567911220E+02  2.6561403095E-08
  5.3669769455E+02  2.5540498641E-08
  5.4794723369E+02  2.4558704325E-08
  5.5943257062E+02  2.3614527405E-08
  5.7115864781E+02  2.2706531877E-08
  5.8313051135E+02  2.1833336325E-08
  5.9535331308E+02  2.0993611859E-08
  6.0783231283E+02  2.0186080122E-08
  6.2057288068E+02  1.9409511383E-08
  6.3358049927E+02  1.8662722696E-08
  6.4686076615E+02  1.7944576121E-08
  6.6041939623E+02  1.7253977030E-08
  6.7426222418E+02  1.6589872457E-08
  6.8839520696E+02  1.5951249526E-08
  7.0282442643E+02  1.5337133928E-08
  7.1755609189E+02  1.4746588461E-08
  7.3259654282E+02  1.4178711621E-08
  7.4795225156E+02  1.3632636251E-08
  7.6362982613E+02  1.3107528237E-08
  7.7963601304E+02  1.2602585252E-08
  7.9597770023E+02  1.2117035555E-08
  8.1266192001E+02  1.1650136827E-08
  8.2969585208E+02  1.1201175054E-08
  8.4708682666E+02  1.0769463452E-08
  8.6484232757E+02  1.0354341437E-08
  8.8296999555E+02  9.9551736229E-09
  9.0147763145E+02  9.5713488717E-09
  9.2037319966E+02  9.2022793671E-09
  9.3966483150E+02  8.8473997299E-09
  9.5936082871E+02  8.5061661652E-09
  9.7946966707E+02  8.1780556417E-09
  1.0000000000E+03  7.8625651022E-09
  1.0209606623E+03  7.5592107037E-09
  1.0423606740E+03  7.2675270869E-09
  1.0642092441E+03  6.9870666726E-09
  1.0865157747E+03  6.7173989857E-09
  1.1092898649E+03  6.4581100032E-09
  1.1325413152E+03  6.2088015291E-09
  1.1562801312E+03  5.9690905910E-09
  1.1805165286E+03  5.7386088606E-09
  1.2052609369E+03  5.5170020960E-09
  1.2305240044E+03  5.3039296052E-09
  1.2563166025E+03  5.0990637295E-09
  1.2826498305E+03  4.9020893471E-09
  1.3095350205E+03  4.7127033952E-09
  1.3369837418E+03  4.5306144105E-09
  1.3650078065E+03  4.3555420864E-09
  1.3936192742E+03  4.1872168482E-09
  1.4228304572E+03  4.0253794433E-09
  1.4526539259E+03  3.8697805476E-09
  1.4831025143E+03  3.7201803869E-09
  1.5141893253E+03  3.5763483721E-09
  1.5459277364E+03  3.4380627489E-09
  1.5783314057E+03  3.3051102605E-09
  1.6114142773E+03  3.1772858231E-09
  1.6451905878E+03  3.0543922139E-09
  1.6796748721E+03  2.9362397710E-09
  1.7148819699E+03  2.8226461042E-09
  1.7508270317E+03  2.7134358175E-09
  1.7875255259E+03  2.6084402418E-09
  1.8249932448E+03  2.5074971779E-09
  1.8632463119E+03  2.4104506490E-09
  1.9023011887E+03  2.3171506629E-09
  1.9421746815E+03  2.2274529834E-09
  1.9828839491E+03  2.1412189097E-09
  2.0244465100E+03  2.0583150654E-09
  2.0668802496E+03  1.9786131941E-09
  2.1102034286E+03  1.9019899640E-09
  2.1544346900E+03  1.8283267793E-09
  2.1995930680E+03  1.7575095989E-09
  2.2456979955E+03  1.6894287622E-09
  2.2927693129E+03  1.6239788213E-09
  2.3408272762E+03  1.5610583798E-09
  2.3898925662E+03  1.5005699375E-09
  2.4399862973E+03  1.4424197413E-09
  2.4911300261E+03  1.3865176417E-09
  2.5433457613E+03  1.3327769546E-09
  2.5966559729E+03  1.2811143287E-09
  2.6510836019E+03  1.2314496177E-09
  2.7066520700E+03  1.1837057574E-09
  2.7633852901E+03  1.1378086477E-09
  2.8213076759E+03  1.0936870386E-09
  2.8804441534E+03  1.0512724215E-09
  2.9408201706E+03  1.0104989236E-09
  3.0024617091E+03  9.7130320701E-10
  3.0653952951E+03  9.3362437146E-10
  3.1296480107E+03  8.9740386074E-10
  3.1952475058E+03  8.6258537284E-10
  3.2622220097E+03  8.2911477337E-10
  3.3306003436E+03  7.9694001242E-10
  3.4004119327E+03  7.6601104448E-10
  3.4716868189E+03  7.3627975156E-10
  3.5444556740E+03  7.0769986911E-10
  3.6187498124E+03  6.8022691490E-10
  3.6946012052E+03  6.5381812053E-10
  3.7720424934E+03  6.2843236559E-10
  3.8511070023E+03  6.0403011439E-10
  3.9318287557E+03  5.8057335502E-10
  4.0142424905E+03  5.5802554083E-10
  4.0983836718E+03  5.3635153409E-10
  4.1842885079E+03  5.1551755186E-10
  4.2719939663E+03  4.9549111387E-10
  4.3615377892E+03  4.7624099248E-10
  4.4529585099E+03  4.5773716448E-10
  4.5462954695E+03  4.3995076476E-10
  4.6415888336E+03  4.2285404180E-10
  4.7388796097E+03  4.0642031481E-10
  4.8382096649E+03  3.9062393255E-10
  4.9396217439E+03  3.7544023368E-10
  5.0431594872E+03  3.6084550871E-10
  5.1488674501E+03  3.4681696334E-10
  5.2567911220E+03  3.3333268324E-10
  5.3669769455E+03  3.2037160017E-10
  5.4794723369E+03  3.0791345940E-10
  5.5943257062E+03  2.9593878840E-10
  5.7115864781E+03  2.8442886668E-10
  5.8313051135E+03  2.7336569688E-10
  5.9535331308E+03  2.6273197686E-10
  6.0783231283E+03  2.5251107296E-10
  6.2057288068E+03  2.4268699419E-10
  6.3358049927E+03  2.3324436754E-10
  6.4686076615E+03  2.2416841408E-10
  6.6041939623E+03  2.1544492612E-10
  6.7426222418E+03  2.0706024518E-10
  6.8839520696E+03  1.9900124079E-10
  7.0282442643E+03  1.9125529015E-10
  7.1755609189E+03  1.8381025857E-10
  7.3259654282E+03  1.7665448061E-10
  7.4795225156E+03  1.6977674200E-10
  7.6362982613E+03  1.6316626223E-10
  7.7963601304E+03  1.5681267782E-10
  7.9597770023E+03  1.5070602623E-10
  8.1266192001E+03  1.4483673038E-10
  8.2969585208E+03  1.3919558380E-10
  8.4708682666E+03  1.3377373626E-10
  8.6484232757E+03  1.2856268011E-10
  8.8296999555E+03  1.2355423698E-10
  9.0147763145E+03  1.1874054510E-10
  9.2037319966E+03  1.1411404707E-10
  9.3966483150E+03  1.0966747809E-10
  9.5936082871E+03  1.0539385469E-10
  9.7946966707E+03  1.0128646384E-10
  1.0000000000E+04  9.7338852493E-11
  1.0209606623E+04  9.3544817576E-11
  1.0423606740E+04  8.9898396295E-11
  1.0642092441E+04  8.6393856868E-11
  1.0865157747E+04  8.3025689592E-11
  1.1092898649E+04  7.9788598259E-11
  1.1325413152E+04  7.6677491906E-11
  1.1562801312E+04  7.3687476875E-11
  1.1805165286E+04  7.0813849189E-11
  1.2052609369E+04  6.8052087212E-11
  1.2305240044E+04  6.5397844604E-11
  1.2563166025E+04  6.2846943536E-11
  1.2826498305E+04  6.0395368171E-11
  1.3095350205E+04  5.8039258403E-11
  1.3369837418E+04  5.5774903827E-11
  1.3650078065E+04  5.3598737948E-11
  1.3936192742E+04  5.1507332612E-11
  1.4228304572E+04  4.9497392652E-11
  1.4526539259E+04  4.7565750743E-11
  1.4831025143E+04  4.5709362449E-11
  1.5141893253E+04  4.3925301470E-11
  1.5459277364E+04  4.2210755065E-11
  1.5783314057E+04  4.0563019657E-11
  1.6114142773E+04  3.8979496605E-11
  1.6451905878E+04  3.7457688140E-11
  1.6796748721E+04  3.5995193457E-11
  1.7148819699E+04  3.4589704963E-11
  1.7508270317E+04  3.3239004660E-11
  1.7875255259E+04  3.1940960678E-11
  1.8249932448E+04  3.0693523938E-11
  1.8632463119E+04  2.9494724942E-11
  1.9023011887E+04  2.8342670688E-11
  1.9421746815E+04  2.7235541710E-11
  1.9828839491E+04  2.6171589221E-11
  2.0244465100E+04  2.5149132378E-11
  2.0668802496E+04  2.4166555646E-11
  2.1102034286E+04  2.3222306268E-11
  2.1544346900E+04  2.2314891825E-11
  2.1995930680E+04  2.1442877904E-11
  2.2456979955E+04  2.0604885842E-11
  2.2927693129E+04  1.9799590566E-11
  2.3408272762E+04  1.9025718516E-11
  2.3898925662E+04  1.8282045642E-11
  2.4399862973E+04  1.7567395488E-11
  2.4911300261E+04  1.6880637344E-11
  2.5433457613E+04  1.6220684466E-11
  2.5966559729E+04  1.5586492379E-11
  2.6510836019E+04  1.4977057227E-11
  2.7066520700E+04  1.4391414204E-11
  2.7633852901E+04  1.3828636031E-11
  2.8213076759E+04  1.3287831507E-11
  2.8804441534E+04  1.2768144101E-11
  2.9408201706E+04  1.2268750611E-11
  3.0024617091E+04  1.1788859866E-11
  3.0653952951E+04  1.1327711486E-11
  3.1296480107E+04  1.0884574681E-11
  3.1952475058E+04  1.0458747107E-11
  3.2622220097E+04  1.0049553757E-11
  3.3306003436E+04  9.6563459016E-12
  3.4004119327E+04  9.2785000661E-12
  3.4716868189E+04  8.9154170506E-12
  3.5444556740E+04  8.5665209857E-12
  3.6187498124E+04  8.2312584267E-12
  3.6946012052E+04  7.9090974813E-12
  3.7720424934E+04  7.5995269725E-12
  3.8511070023E+04  7.3020556328E-12
  3.9318287557E+04  7.0162113305E-12
  4.0142424905E+04  6.7415403260E-12
  4.0983836718E+04  6.4776065558E-12
  4.1842885079E+04  6.2239909464E-12
  4.2719939663E+04  5.9802907523E-12
  4.3615377892E+04  5.7461189220E-12
  4.4529585099E+04  5.5211034871E-12
  4.5462954695E+04  5.3048869755E-12
  4.6415888336E+04  5.0971258479E-12
  4.7388796097E+04  4.8974899554E-12
  4.8382096649E+04  4.7056620186E-12
  4.9396217439E+04  4.5213371270E-12
  5.0431594872E+04  4.3442222574E-12
  5.1488674501E+04  4.1740358115E-12
  5.2567911220E+04  4.0105071712E-12
  5.3669769455E+04  3.8533762712E-12
  5.4794723369E+04  3.7023931883E-12
  5.5943257062E+04  3.5573177464E-12
  5.7115864781E+04  3.4179191371E-12
  5.8313051135E+04  3.2839755552E-12
  5.9535331308E+04  3.1552738478E-12
  6.0783231283E+04  3.0316091774E-12
  6.2057288068E+04  2.9127846984E-12
  6.3358049927E+04  2.7986112454E-12
  6.4686076615E+04  2.6889070345E-12
  6.6041939623E+04  2.5834973752E-12
  6.7426222418E+04  2.4822143948E-12
  6.8839520696E+04  2.3848967721E-12
  7.0282442643E+04  2.2913894825E-12
  7.1755609189E+04  2.2015435526E-12
  7.3259654282E+04  2.1152158245E-12
  7.4795225156E+04  2.0322687288E-12
  7.6362982613E+04  1.9525700673E-12
  7.7963601304E+04  1.8759928032E-12
  7.9597770023E+04  1.8024148602E-12
  8.1266192001E+04  1.7317189291E-12
  8.2969585208E+04  1.6637922818E-12
  8.4708682666E+04  1.5985265929E-12
  8.6484232757E+04  1.5358177677E-12
  8.8296999555E+04  1.4755657777E-12
  9.0147763145E+04  1.4176745017E-12
  9.2037319966E+04  1.3620515734E-12
  9.3966483150E+04  1.3086082351E-12
  9.5936082871E+04  1.2572591971E-12
  9.7946966707E+04  1.2079225020E-12
  1.0000000000E+05  1.1605193951E-12
